GeneID	gene_name	GSM1480291	GSM1480292	GSM1480293	GSM1480294	GSM1480295	GSM1480296	GSM1480297	GSM1480298	GSM1480299	GSM1480300	GSM1480301	GSM1480302
73884	Zdbf2	153	75	15	13	2	2	280	311	127	69	28	32
73887	4930417O22Rik	0	0	0	0	0	0	0	0	0	0	0	0
73889	4930413M19Rik	0	0	0	0	0	0	0	0	0	0	0	0
73893	Tmem202	2	1	1	0	0	1	0	0	0	0	0	0
73894	4930414N06Rik	0	0	1	0	0	0	0	0	0	0	1	0
73895	4930431P03Rik	11	34	43	67	86	106	14	29	4	4	4	10
73902	Psmb11	1	3	0	0	0	0	1	2	2	0	0	0
73904	4833412C05Rik	0	0	0	0	0	0	1	1	0	2	1	0
73906	4833417C18Rik	5	11	3	4	0	1	6	4	7	14	6	2
73910	Arhgap18	494	531	521	448	274	201	271	371	310	283	287	312
73914	Irak3	468	466	110	124	59	68	233	238	131	142	121	125
73915	4833419F23Rik	29	20	6	10	6	6	19	42	50	56	72	54
73916	Ift57	328	273	34	55	20	29	895	728	538	536	591	616
73919	Lyrm1	53	58	39	55	37	42	67	59	65	67	70	72
73921	Scpep1os	1	1	4	0	2	2	1	2	0	3	0	3
73922	4930405D11Rik	0	0	0	0	0	0	0	0	0	0	0	0
73924	4930401O12Rik	0	0	0	0	0	0	0	0	0	0	0	0
73934	Cldn34c4	0	0	0	0	0	0	0	0	0	0	0	0
73936	Ccdc175	0	0	0	0	0	0	2	6	15	7	11	13
73937	1700029M20Rik	3	7	1	0	0	1	6	10	1	2	1	0
73938	4930412B13Rik	0	0	0	0	1	0	0	0	0	0	0	0
73940	Hapln2	0	1	1	1	0	0	1	2	1	0	0	0
73942	Fam151b	74	60	18	28	24	25	62	57	53	54	66	64
73945	Otud4	2228	2146	2082	1861	814	735	3355	3238	3514	2498	2317	2044
73949	Speer9-ps1	0	0	0	0	0	0	0	0	0	0	0	0
73951	4930413G21Rik	345	425	355	217	112	108	677	577	616	550	324	386
73959	4930433B08Rik	0	0	0	0	0	0	0	0	0	0	0	0
73961	4930447J18Rik	0	0	0	0	0	1	0	0	1	0	0	0
73962	4930441J16Rik	0	0	0	0	0	0	0	0	0	0	0	0
73965	4930448I18Rik	0	0	0	0	0	0	0	0	0	1	0	0
73968	4930444F02Rik	0	0	1	0	0	0	0	0	0	0	0	0
73972	4930448C13Rik	0	0	0	0	1	0	0	0	0	0	0	0
73977	4930438E09Rik	0	0	0	0	0	0	0	0	0	0	0	0
73988	4930438A08Rik	1	2	2	1	0	0	0	5	1	1	0	0
73989	4930452G13Rik	1	0	0	0	0	0	0	0	0	0	1	3
